cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
05,022,3,2.0092,Muy bajo,0.923160800215486,3911.1800000000003,0.0,167800.896
05,028,7,4.9,Muy bajo,0.935619883609541,3911.1800000000003,0.0,3178091.5199999996
05,007,15,8.44,Muy bajo,0.895993619429459,3911.1800000000003,0.0,5800654.08
05,034,8,14.7486,Muy bajo,0.906704469180692,3911.1800000000003,0.0,2717739.072
20,570,1797,1642.8766,Medio,0.847601382326397,3918.03,0.0,335540.736
20,192,120,79.5056,Muy bajo,0.885787806297598,3919.97,0.0,12475439.423999999
20,448,209,287.13,Muy alto,0.757003992344999,3921.56,1653868.8,36872315.136
20,157,6,2.6606,Muy bajo,0.934730311354242,3924.39,0.0,887328.0000000001
20,349,236,58.0039,Alto,0.814983978877203,3928.67,0.0,403041.024
20,387,599,471.5472,Medio,0.845391188972251,3929.51,0.0,1523973.888
20,491,426,526.45,Alto,0.81567631917598,3930.34,0.0,3830400.0
20,343,406,158.7537,Medio,0.847708184369195,3934.45,0.0,515054.592
20,403,99,70.2151,Bajo,0.879578238015809,3935.28,0.0,847615.1039999999
20,084,53,41.595,Muy bajo,0.904375745076069,3936.21,0.0,9234202.752
20,420,180,124.6228,Alto,0.784410660731232,3938.93,0.0,3982402.3680000002
20,068,1250,944.8391,Medio,0.841142970009139,3939.59,0.0,8571392.064
20,295,235,377.684,Muy bajo,0.893190269549943,3939.9,0.0,4385163.456
20,077,256,248.5316,Bajo,0.857390797489819,3943.21,0.0,844501.248
20,013,239,248.9306,Bajo,0.864247801891942,3945.92,0.0,252864.0
20,409,162,68.3349,Muy bajo,0.926239545783127,3947.81,0.0,571739.904
20,051,489,195.6947,Muy alto,0.70048369847163,3947.94,1127201.472,21468868.992
20,530,413,238.6305,Alto,0.779582317071646,3952.61,0.0,12096493.632000001
20,067,78,155.5172,Muy bajo,0.918851103710651,3953.79,0.0,7043022.144
20,049,158,34.8642,Alto,0.808771848335821,3958.17,0.0,2689370.4960000003
20,516,509,767.4359,Alto,0.812240977213519,3964.93,0.0,1814053.824
20,389,78,80.3,Alto,0.792745176795341,3965.59,0.0,16916864.832
20,162,176,53.198,Muy alto,0.762926541903265,3968.86,306420.48,97136975.808
20,477,227,589.25,Alto,0.79497191937181,3969.54,0.0,21798488.448
20,358,117,96.2433,Alto,0.818783293687144,3969.95,0.0,13603442.112000002
20,561,157,72.5603,Alto,0.780370313293923,3970.03,0.0,8285921.28
20,229,1031,1438.528,Muy alto,0.737522082421745,3971.83,8285921.28,4858585.3440000005
20,048,155,70.569,Alto,0.769746719539363,3973.77,0.0,20094258.24
20,072,1175,867.7467,Alto,0.794606166794519,3974.04,0.0,21897368.64
