cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
29,007,104,243.2362,Bajo,0.864534623093509,3901.67,0.0,54020.7
29,047,9,16.8472,Bajo,0.872823376019493,3911.19,0.0,224628.26100000003
29,037,11,32.2866,Medio,0.851748448880781,3915.91,186939.414,11580.0
21,027,93,31.8902,Alto,0.804855415431923,4014.77,184644.258,47582.22
21,010,76,15.395,Alto,0.775456364588669,4110.0,89137.05,184644.258
21,177,32,10.305,Medio,0.828432471515096,4121.87,59665.95,26633.999999999996
21,161,29,8.744,Bajo,0.858163305222127,4205.61,50627.76,55240.074
16,032,21,23.35,Bajo,0.860462150736857,4254.62,135196.5,58565.85
21,110,7,11.2,Medio,0.834156391229904,4285.67,64847.99999999999,10711.5
20,050,44,3.435,Alto,0.776058715887964,4310.0,19888.65,126270.636
20,408,5,1.79,Medio,0.835624692954032,4320.0,10364.1,1158.0
20,532,12,1.77,Alto,0.786425771746893,4340.0,10248.3,199071.201
20,317,15,3.205,Alto,0.811959322944377,4350.0,18556.95,2327.58
21,115,32,12.8621,Medio,0.836025041949365,4360.0,74471.559,68435.484
21,004,8,73.7,Medio,0.8503256893407,4378.97,426723.0,18556.95
20,370,15,10.295,Bajo,0.854816289042376,4380.0,59608.05,441400.65
21,065,117,88.1673,Medio,0.853515870724238,4385.0,510488.66699999996,5211.0
20,269,17,2.185,Medio,0.832142876439887,4385.0,12651.15,42018.03
20,500,26,9.33,Alto,0.799833046513352,4400.0,54020.7,1158.0
20,260,4,1.85,Alto,0.808657525558381,4410.0,10711.5,23872.170000000002
20,026,38,5.78,Alto,0.81771543809019,4410.0,33466.200000000004,28950.0
20,110,17,0.98,Muy alto,0.718387039650412,4440.0,5674.2,44369.928
20,297,56,16.8023,Muy alto,0.744832055972508,4460.0,97285.317,256386.99
21,097,3,0.56,Bajo,0.87849341369899,4468.28,0.0,34653.15
20,445,53,3.9813,Medio,0.838573770226226,4470.0,23051.727,33466.200000000004
20,419,5,0.035,Bajo,0.867703281511599,4480.0,0.0,568062.6900000001
20,239,8,1.055,Medio,0.826534492188546,4480.0,6108.45,20265.0
29,055,110,752.0465,Bajo,0.881923463981667,4500.0,0.0,138152.29499999998
20,359,14,1.144,Alto,0.797774239780449,4500.0,6623.759999999999,42542.604
20,397,47,18.436,Medio,0.854380956416636,4510.0,106744.44,232080.56999999998
29,040,205,1580.573,Bajo,0.878984811776374,4520.0,0.0,4307.181
20,258,3,0.899,Alto,0.822373065366911,4520.0,5205.21,5205.21
29,043,11,29.0365,Muy bajo,0.920908902803921,4525.0,0.0,168344.25
