cve_ent,cve_mun,productores,produccion_total,gm,imn,precio,Escenario_marginacion,Escenario_precio
21,206,234.0,12.6905,Alto,0.802318734933343,11855.0,0.0,0.0
20,133,11.0,0.244,Alto,0.777964228863582,11858.095000000001,0.0,0.0
20,266,104.0,21.8084,Alto,0.795910111530645,11879.0,0.0,0.0
21,035,588.0,115.3056,Medio,0.842580608794046,11888.400000000001,0.0,0.0
20,160,14.0,1.589,Medio,0.836465577523622,11895.085,0.0,0.0
21,016,189.0,44.5959,Medio,0.827977258365926,11898.215,0.0,0.0
31,024,95.0,18.8426,Alto,0.802134845097368,11900.0,0.0,0.0
20,123,84.0,18.2848,Alto,0.8133504921493,11900.0,0.0,0.0
21,098,100.0,15.68,Medio,0.839233888658445,11910.740000000002,0.0,0.0
20,114,34.0,0.343,Medio,0.834335034329784,11915.585,0.0,0.0
20,459,269.0,19.9316,Medio,0.848341791747613,11931.535,0.0,0.0
12,053,70.0,11.3338,Alto,0.779051277051243,11974.51,0.0,0.0
17,016,56.0,16.4911,Bajo,0.865493346905303,11979.439999999999,0.0,0.0
20,141,8.0,6.05,Alto,0.782890864255806,11987.37,0.0,0.0
07,027,822.0,899.6602,Bajo,0.86180427467689,12000.0,0.0,0.0
20,503,14.0,0.052,Bajo,0.862112300891113,12000.0,0.0,0.0
20,518,16.0,4.7674,Bajo,0.862446106033206,12000.0,0.0,0.0
29,007,184.0,40.245,Bajo,0.864534623093509,12000.0,0.0,0.0
17,005,10.0,1.538,Bajo,0.862968486355201,12000.0,0.0,0.0
31,094,148.0,12.7384,Alto,0.790900144598136,12000.0,0.0,0.0
31,039,1.0,0.2,Bajo,0.862879206385972,12000.0,0.0,0.0
30,045,15.0,4.5105,Bajo,0.874768501212382,12004.44,0.0,0.0
16,057,24.0,39.8217,Alto,0.792593954677637,12010.896666666667,0.0,0.0
30,162,4.0,0.13,Alto,0.787255377752696,12066.976666666667,0.0,0.0
20,090,6.0,1.896,Alto,0.78628228223187,12075.985,0.0,0.0
10,017,304.0,1140.1045,Bajo,0.870006859904487,12080.0,0.0,0.0
21,170,1043.0,238.5624,Medio,0.844866321553646,12086.625,0.0,0.0
31,066,79.0,15.4975,Alto,0.812535939205192,12100.0,0.0,0.0
16,092,45.0,38.7773,Alto,0.7893671269829,12100.0,0.0,0.0
30,005,10.0,0.1871,Alto,0.811354752528618,12100.0,0.0,0.0
30,163,142.0,12.6879,Alto,0.814821313148733,12100.0,0.0,0.0
21,031,4.0,0.0,Alto,0.810583480615621,12100.0,0.0,0.0
31,018,55.0,4.5254,Alto,0.823268120437999,12107.32,0.0,0.0
22,015,69.0,2.8462,Alto,0.822150885702731,12109.07,0.0,0.0
20,246,51.0,2.639,Medio,0.829694198913994,12117.63,0.0,0.0
28,008,28.0,46.2939,Alto,0.810802354245956,12120.0,0.0,0.0
07,090,319.0,64.1034,Alto,0.811888584597387,12120.0,0.0,0.0
21,126,471.0,203.164,Medio,0.83660804744983,12120.5,0.0,0.0
