"","cve_ent","cve_mun","productores","superficie_total","produccion_total","produccion_prom"
"157","15","085",109,146.302,201.6144,1.84967339449541
"158","15","087",37,59.0457,121.125,3.27364864864865
"159","15","088",3,2.5861,0.328,0.109333333333333
"160","15","089",32,242.505,668,20.875
"161","15","092",3,13.33,1.5,0.5
"162","15","093",30,81.085,59.58,1.986
"163","15","095",9,48.7,61,6.77777777777778
"164","15","096",33,62.85,20.6305,0.625166666666667
"165","15","099",111,263.9499,396.0854,3.56833693693694
"166","15","102",3,7,8,2.66666666666667
"167","15","103",42,149.1777,406.69,9.68309523809524
"168","15","106",8,21.32,15.515,1.939375
"169","15","111",14,10.8286,29.075,2.07678571428571
"170","15","112",11,5.09,8.715,0.792272727272727
"171","15","114",23,9.2728,6.6454,0.288930434782609
"172","15","120",49,92.8294,63.3793,1.29345510204082
"173","15","124",15,6.292,8.218,0.547866666666667
"174","16","003",32,65.27,299.9977,9.374928125
"175","16","004",276,649.1416,3690.0428,13.3697202898551
"176","16","011",196,513.4062,2740.6554,13.9829357142857
"177","16","016",54,55.795,48.2786,0.894048148148148
"178","16","017",78,165.1549,233.1543,2.98915769230769
"179","16","020",6,36.7733,166.6045,27.7674166666667
"180","16","021",4,16.5345,55.0568,13.7642
"181","16","023",63,229.4566,1254.637,19.914873015873
"182","16","024",5,4.45,5.65,1.13
"183","16","025",17,39.57,73.1022,4.30012941176471
"184","16","028",54,354.3096,1812.1194,33.5577666666667
"185","16","030",50,438.6665,2605.3023,52.106046
"186","16","031",24,42.446,70.002,2.91675
"187","16","032",21,23.85,23.35,1.11190476190476
"188","16","034",16,51.34,219.5,13.71875
"189","16","040",4,13.87,55.96,13.99
"190","16","041",4,16.2044,64.3724,16.0931
"191","16","042",365,1535.8709,8015.0541,21.9590523287671
"192","16","050",16,37.243,79.72,4.9825
"193","16","053",7,11.41,15.627,2.23242857142857
"194","16","054",8,18.5,28.63,3.57875
"195","16","056",3,4.75,5,1.66666666666667
"196","16","060",111,675.34,3480.4426,31.3553387387387
"197","16","061",10,4.04,3.31,0.331
"198","16","062",221,1497.9771,7736.0345,35.0046809954751
"199","16","063",80,160.8598,784.8916,9.811145
"200","16","065",8,30.44,103.9656,12.9957
"201","16","066",9,9,14.8458,1.64953333333333
"202","16","067",52,293.5871,1507.0035,28.9808365384615
"203","16","069",62,309.885,1576.7936,25.4321548387097
"204","16","071",99,308.2313,1758.8078,17.7657353535354
"205","16","072",16,42.1937,189.71,11.856875
"206","16","073",7,8,6.21,0.887142857142857
"207","16","076",3,44.1188,109.8064,36.6021333333333
"208","16","080",17,18.517,33.3596,1.96232941176471
"209","16","085",8,38.2941,167.8756,20.98445
